name,categories,github_links_list
Dai,"['Arbitrum Ecosystem', None, 'Avalanche Ecosystem', 'Binance Smart Chain Ecosystem', 'Polygon Ecosystem', 'USD Stablecoin', 'Decentralized Finance (DeFi)', 'Stablecoins']",
Near,"['Near Protocol Ecosystem', 'Smart Contract Platform']",https://github.com/near
Near,"['Near Protocol Ecosystem', 'Smart Contract Platform']",https://github.com/nearprotocol/near-wallet
Near,"['Near Protocol Ecosystem', 'Smart Contract Platform']",https://github.com/nearprotocol/nearlib
Near,"['Near Protocol Ecosystem', 'Smart Contract Platform']",https://github.com/nearprotocol/nearcore
Bitcoin Cash,['Cryptocurrency'],https://github.com/gcash/bchd
Bitcoin Cash,['Cryptocurrency'],https://github.com/k-nuth/kth
Bitcoin Cash,['Cryptocurrency'],https://github.com/softwareverde/bitcoin-verde
Uniswap,"['Arbitrum Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Binance Smart Chain Ecosystem', 'xDAI Ecosystem', 'Automated Market Maker (AMM)', 'Exchange-based Tokens', 'Governance', 'Decentralized Exchange Token (DEX)', 'Yield Farming', 'Decentralized Finance (DeFi)']",
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/java-tron
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/grpc-gateway
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/protocol
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/tron-contracts
TRON,['Smart Contract Platform'],https://github.com/tronprotocol/wallet-cli
OKB,"['Centralized Exchange Token (CEX)', 'Exchange-based Tokens']",
Stellar,"['Cryptocurrency', 'Smart Contract Platform']",https://github.com/stellar/stellar-core
Stellar,"['Cryptocurrency', 'Smart Contract Platform']",https://github.com/stellar/js-stellar-sdk
Stellar,"['Cryptocurrency', 'Smart Contract Platform']",https://github.com/stellar/go
Stellar,"['Cryptocurrency', 'Smart Contract Platform']",https://github.com/stellar/stellar-protocol
Fantom,"['Fantom Ecosystem', 'Infrastructure', 'Binance Smart Chain Ecosystem', 'Smart Contract Platform']",https://github.com/Fantom-foundation/go-lachesis
Internet Computer,['Smart Contract Platform'],https://github.com/dfinity/candid
Internet Computer,['Smart Contract Platform'],https://github.com/dfinity/agent-rs
Internet Computer,['Smart Contract Platform'],https://github.com/dfinity/cdk-rs
Lido Staked Ether,"['Eth 2.0 Staking', 'Decentralized Finance (DeFi)']",https://github.com/lidofinance
VeChain,"['Internet of Things (IOT)', 'Artificial Intelligence', 'Business Platform', 'Smart Contract Platform']",https://github.com/vechain/thor
VeChain,"['Internet of Things (IOT)', 'Artificial Intelligence', 'Business Platform', 'Smart Contract Platform']",https://github.com/vechain/web3-gear
VeChain,"['Internet of Things (IOT)', 'Artificial Intelligence', 'Business Platform', 'Smart Contract Platform']",https://github.com/vechain/thor-devkit.js
VeChain,"['Internet of Things (IOT)', 'Artificial Intelligence', 'Business Platform', 'Smart Contract Platform']",https://github.com/vechain/thorify
Axie Infinity,"['Axie Infinity', 'Metaverse', 'Play To Earn', 'Non-Fungible Tokens (NFT)', 'Gaming']",
Hedera,['Protocol'],https://github.com/hashgraph
Hedera,['Protocol'],https://github.com/hashgraph/hashgraph.github.io
FTX Token,"['Centralized Exchange Token (CEX)', 'Exchange-based Tokens']",
cETH,"['Finance / Banking', 'Decentralized Finance (DeFi)', 'Compound Tokens', 'Asset-backed Tokens']",https://github.com/compound-finance/compound-protocol
Magic Internet Money,"['Avalanche Ecosystem', 'Polygon Ecosystem', 'Meme Tokens', 'Arbitrum Ecosystem', None, 'Decentralized Finance (DeFi)', 'Stablecoins']",https://github.com/Abracadabra-money/magic-internet-money
Filecoin,"['Infrastructure', 'Storage']",https://github.com/filecoin-project/
The Sandbox,"['Metaverse', 'Polygon Ecosystem', 'Play To Earn', 'Non-Fungible Tokens (NFT)', 'Gaming']",
